"hgb_fs_item_de","hgb_fs_item_en","account_usage_type","account_number","account_name_de","account_name_en","account_class","account_group_de","account_group_en","account_flags","is_range","range_start","range_end","is_postable"
"Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht oder Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht","Claims against companies with which there is a shareholding relationship or liabilities against companies with which there is a shareholding relationship","F","1480 00","Forderungen aus Lieferungen und Leistungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht","Receivables from supplies and services against companies with which there is an investment relationship",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht oder Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht","Claims against companies with which there is a shareholding relationship or liabilities against companies with which there is a shareholding relationship","F","1481 00","Forderungen aus Lieferungen und Leistungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht - Restlaufzeit bis Jahr","Receivables from supplies and services against companies with which there is an investment relationship - remaining term up to year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht oder Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht","Claims against companies with which there is a shareholding relationship or liabilities against companies with which there is a shareholding relationship","F","1485 00","Forderungen aus Lieferungen und Leistungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht - Restlaufzeit größer Jahr","Receivables from supplies and services against companies with which there is an investment relationship - remaining term larger year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht","Claims against companies with which there is a shareholding relationship",,"1488 00","Wertberichtigungen auf Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht - Restlaufzeit bis Jahr","Value adjustments on receivables against companies with which there is an investment relationship - remaining term up to year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht","Claims against companies with which there is a shareholding relationship",,"1489 00","Wertberichtigungen auf Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht - Restlaufzeit größer Jahr","Value adjustments on receivables against companies with which there is an investment relationship - remaining term larger year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities","F","1490 00","Forderungen aus Lieferungen und Leistungen gegen Gesellschafter","Receivables from supplies and services against shareholders",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities","F","1490 10","Forderungen aus Lieferungen und Leistungen gegenüber Mitgliedern","Receivables from supplies and services against members",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities","F","1491 00","Forderungen aus Lieferungen und Leistungen gegen Gesellschafter - Restlaufzeit bis Jahr","Receivables from supplies and services against shareholders - remaining term up to year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities","F","1491 10","Forderungen aus Lieferungen und Leistungen gegenüber Mitgliedern - Restlaufzeit bis Jahr","Receivables from supplies and services from members - remaining period up to year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities","F","1491 12","Forderungen aus Lieferungen und Leistungen gegenüber Mitgliedern - Restlaufzeit bis Jahr Umgl. S-Posten","Receivables from deliveries and services against members - remaining period up to year S-Posten",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities","F","1491 13","Forderungen aus Lieferungen und Leistungen gegenüber Mitgliedern - Restlaufzeit bis Jahr Umgl. H-Posten","Receivables from deliveries and services against members - remaining period up to year H-post",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities","F","1491 14","Forderungen aus Lieferungen und Leistungen gegenüber Mitgliedern - Restlaufzeit bis Jahr Wertberichtigung","Receivables from supplies and services from members - remaining period to year value adjustment",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities","F","1492 00","Forderungen aus Lieferungen und Leistungen gegen Gesellschafter - Restlaufzeit bis Jahr","Receivables from supplies and services against shareholders - remaining term up to year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities","F","1495 00","Forderungen aus Lieferungen und Leistungen gegen Gesellschafter - Restlaufzeit größer Jahr","Receivables from supplies and services against shareholders - remaining term larger year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities","F","1495 10","Forderungen aus Lieferungen und Leistungen gegenüber Mitgliedern - Restlaufzeit größer Jahr","Receivables from supplies and services from members - remaining period larger year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities","F","1495 12","Forderungen aus Lieferungen und Leistungen gegenüber Mitgliedern - Restlaufzeit größer Jahr Umgl. S-Posten","Receivables from deliveries and services from members - remaining term longer year S-Posten",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities","F","1495 13","Forderungen aus Lieferungen und Leistungen gegenüber Mitgliedern - Restlaufzeit größer Jahr Umgl. H-Posten","Receivables from deliveries and services from members - remaining term longer year H-post",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities","F","1495 14","Forderungen aus Lieferungen und Leistungen gegenüber Mitgliedern - Restlaufzeit größer Jahr Wertberichtigung","Receivables from supplies and services against members - remaining term larger year Value adjustment",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities","F","1496 00","Forderungen aus Lieferungen und Leistungen gegen Gesellschafter - Restlaufzeit größer Jahr","Receivables from supplies and services against shareholders - remaining term larger year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen aus Lieferungen und Leistungen","Receivables from deliveries and services",,"1498 00","Gegenkonto zu sonstige Vermögensgegenstände bei Buchungen über Debitorenkonto","Offset account to other assets for bookings made via debtor account",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen aus Lieferungen und Leistungen oder sonstige Verbindlichkeiten","Receivables from supplies and services or other liabilities",,"1499 00","Gegenkonto 1451-1497 bei Aufteilung Debitorenkonto","Offset account 1451-1497 when debtor account is split",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen aus Lieferungen und Leistungen oder sonstige Verbindlichkeiten","Receivables from supplies and services or other liabilities",,"1499 10","Gegenkonto 145100-149799 bei Aufteilung Debitorenkonto Umgl.","Offset account 145100-149799 when dividing debtor account Umgl.",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen aus Lieferungen und Leistungen oder sonstige Verbindlichkeiten","Receivables from supplies and services or other liabilities",,"1499 12","Gegenkonto 145100-149799 bei Aufteilung Debitorenkonto Umgl. S-Posten","Offset account 145100-149799 when dividing debtor account Umgl. S-Posten",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen aus Lieferungen und Leistungen oder sonstige Verbindlichkeiten","Receivables from supplies and services or other liabilities",,"1499 13","Gegenkonto 145100-149799 bei Aufteilung Debitorenkonto Umgl. H-Posten","Offset account 145100-149799 when dividing debtor account Umgl. H-post",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1500 00","Sonstige Vermögensgegenstände","Other assets",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1501 00","Sonstige Vermögensgegenstände - Restlaufzeit bis Jahr","Other assets - remaining term to year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1501 12","Sonstige Vermögensgegenstände - Restlaufzeit bis Jahr Umgl. S-Posten","Other assets - remaining term to year excl. S post",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1501 13","Sonstige Vermögensgegenstände - Restlaufzeit bis Jahr Umgl. H-Posten","Other assets - remaining term to year excl. H-post",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1501 14","Sonstige Vermögensgegenstände - Restlaufzeit bis Jahr Wertberichtigung","Other assets - remaining term to year value adjustment",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1502 00","Sonstige Vermögensgegenstände - Restlaufzeit größer Jahr","Other assets - remaining term larger year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1502 14","Sonstige Vermögensgegenstände - Restlaufzeit größer Jahr Wertberichtigung","Other assets - remaining term larger year Depreciation",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1503 00","Forderungen gegen Vorstandsmitglieder und Geschäftsführer - Restlaufzeit bis Jahr","Claims against board members and managing directors - remaining term up to year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1504 00","Forderungen gegen Vorstandsmitglieder und Geschäftsführer - Restlaufzeit größer Jahr","Claims against board members and managing directors - remaining term larger year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1505 00","Forderungen gegen Aufsichtsrats- und Beiratsmitglieder - Restlaufzeit bis Jahr","Claims against supervisory and advisory board members - remaining term up to year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1506 00","Forderungen gegen Aufsichtsrats- und Beiratsmitglieder - Restlaufzeit größer Jahr","Claims against supervisory and advisory board members - remaining term larger year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities",,"1507 00","Forderungen gegen sonstige Gesellschafter - Restlaufzeit bis Jahr","Receivables from other shareholders - remaining term up to year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities",,"1507 10","Forderungen gegen Mitglieder - Restlaufzeit bis Jahr","Claims against members - remaining term up to year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities",,"1507 14","Forderungen gegen Mitglieder - Restlaufzeit bis Jahr Wertberichtigung","Claims against members - remaining term to year value adjustment",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities",,"1508 00","Forderungen gegen sonstige Gesellschafter - Restlaufzeit größer Jahr","Claims against other shareholders - remaining term larger year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities",,"1508 10","Forderungen gegen Mitglieder - Restlaufzeit größer Jahr","Claims against members - remaining term larger year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities",,"1508 14","Forderungen gegen Mitglieder - Restlaufzeit größer Jahr Wertberichtigung","Claims against members - remaining term larger year Depreciation",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern oder sonstige Verbindlichkeiten","Claims against shareholders or liabilities to shareholders or other liabilities",,"1509 00","Forderungen gegen sonstige Gesellschafter - Restlaufzeit größer Jahr","Claims against other shareholders - remaining term larger year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Geleistete Anzahlungen","Deposits made",,"1510 00","Geleistete Anzahlungen auf Vorräte","Down payments made on inventories",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Geleistete Anzahlungen","Deposits made",,"1511 00","Geleistete Anzahlungen % Vorsteuer","Payments made% input tax",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Geleistete Anzahlungen","Deposits made",,"1512 00","Geleistete Anzahlungen % Vorsteuer","Payments made% input tax",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Geleistete Anzahlungen","Deposits made","R","1513 00","Geleistete Anzahlungen % Vorsteuer","Payments made% input tax",1,"Finanz- und Privatkonten","Financial and private accounts",,"true","1513 00",,"false"
"Geleistete Anzahlungen","Deposits made",,"1517 00","Geleistete Anzahlungen % Vorsteuer","Payments made% input tax",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Geleistete Anzahlungen","Deposits made",,"1518 00","Geleistete Anzahlungen % Vorsteuer","Payments made% input tax",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1519 00","Forderungen gegen Arbeitsgemeinschaften","Claims against working groups",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1520 00","Forderungen gegenüber Krankenkassen aus Aufwendungsausgleichsgesetz","Claims against health insurance companies under Expense Compensation Act",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1521 00","Agenturwarenabrechnung","Agency goods statement",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1522 00","Genussrechte","Participation rights",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1524 00","Einzahlungsansprüche zu Nebenleistungen oder Zuzahlungen","Payment claims for additional benefits or co-payments",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1525 00","Kautionen","deposits",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1526 00","Kautionen - Restlaufzeit bis Jahr","Deposits - Remaining period up to year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1527 00","Kautionen - Restlaufzeit größer Jahr","Deposits - remaining period larger year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities","F","1528 00","Nachträglich abziehbare Vorsteuer nach § 15a Abs. UStG","Subsequent deductible input tax in accordance with Section 15a (UStG)",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities","F","1529 00","Zurückzuzahlende Vorsteuer nach § 15a Abs. UStG","Reimbursable input tax in accordance with Section 15a Abs. UStG",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1530 00","Forderungen gegen Personal aus Lohn- und Gehaltsabrechnung","Payroll claims against personnel",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1531 00","Forderungen gegen Personal aus Lohn- und Gehaltsabrechnung - Restlaufzeit bis Jahr","Payroll claims against personnel - remaining period up to year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1531 11","Forderungen gegen Mitarbeiter - Restlaufzeit bis Jahr Zinsen","Claims against employees - remaining term to year interest",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1531 12","Forderungen gegen Mitarbeiter - Restlaufzeit bis Jahr Umgl. S-Posten","Claims against employees - remaining period up to year plus S-Posten",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1531 13","Forderungen gegen Mitarbeiter - Restlaufzeit bis Jahr Umgl. H-Posten","Claims against employees - remaining period up to year plus H-post",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1531 14","Forderungen gegen Mitarbeiter - Restlaufzeit bis Jahr Wertberichtigung","Claims against employees - remaining period to year value adjustment",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1532 00","Forderungen gegen Personal aus Lohn- und Gehaltsabrechnung - Restlaufzeit bis Jahr","Payroll claims against personnel - remaining period up to year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1537 00","Forderungen gegen Personal aus Lohn- und Gehaltsabrechnung - Restlaufzeit größer Jahr","Payroll claims against personnel - remaining period larger year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1537 14","Forderungen gegen Mitarbeiter - Restlaufzeit größer Jahr Wertberichtigung","Claims against employees - remaining term longer year Appreciation",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1538 00","Forderungen gegen Personal aus Lohn- und Gehaltsabrechnung - Restlaufzeit größer Jahr","Payroll claims against personnel - remaining period larger year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1539 00","Umsatzsteuerforderungen frühere Jahre","Sales tax receivables from previous years",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1540 00","Forderungen aus Gewerbesteuerüberzahlungen","Claims arising from business tax overpayments",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1542 00","Steuererstattungsansprüche gegenüber anderen Ländern","Tax refund claims against other countries",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets","F","1543 00","Forderungen an das Finanzamt aus abgeführtem Bauabzugsbetrag","Claims to the tax office from paid construction deduction amount",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1544 00","Forderungen gegenüber Bundesagentur für Arbeit","Claims against Federal Employment Agency",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1545 00","Forderungen aus Umsatzsteuer- Vorauszahlungen","Receivables from advance sales tax payments",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1546 00","Umsatzsteuerforderungen Vorjahr","Sales tax receivables previous year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1547 00","Forderungen aus entrichteten Verbrauchsteuern","Claims arising from paid excise duties",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1548 00","Vorsteuer in Folgeperiode/ im Folgejahr abziehbar","Input tax deductible in the following period/ in the following year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1549 00","Körperschaftsteuerrückforderung","Corporate income tax recovery",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1550 00","Darlehen","loans",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1551 00","Darlehen - Restlaufzeit bis Jahr","Loans - Remaining term to year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände","Other assets",,"1555 00","Darlehen - Restlaufzeit größer Jahr","Loans - remaining term larger year",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities","F","1556 00","Nachträglich abziehbare Vorsteuer nach § 15a Abs. UStG, bewegliche Wirtschaftsgüter","Subsequent deductible input tax in accordance with Section 15a (UStG), movable assets",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities","F","1557 00","Zurückzuzahlende Vorsteuer nach § 15a Abs. UStG, bewegliche Wirtschaftsgüter","Reimbursable input tax in accordance with Section 15a (UStG), movable assets",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities","F","1558 00","Nachträglich abziehbare Vorsteuer nach § 15a Abs. UStG, unbewegliche Wirtschaftsgüter","Subsequent deductible input tax in accordance with Section 15a (UStG), immovable assets",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities","F","1559 00","Zurückzuzahlende Vorsteuer nach § 15a Abs. UStG, unbewegliche Wirtschaftsgüter","Reimbursable input tax in accordance with Section 15a (UStG), immovable assets",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1560 00","Aufzuteilende Vorsteuer","Distributed input tax",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1561 00","Aufzuteilende Vorsteuer %","Distributed input tax%",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1562 00","Aufzuteilende Vorsteuer aus innergemeinschaftlichem Erwerb","Distributed input tax from intra-community acquisition",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1563 00","Aufzuteilende Vorsteuer aus innergemeinschaftlichem Erwerb %","Distributed input tax from intra-community acquisition%",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities","R","1564 00","Aufzuteilende Vorsteuer aus innergemeinschaftlichem Erwerb %","Distributed input tax from intra-community acquisition%",1,"Finanz- und Privatkonten","Financial and private accounts",,"true","1564 00",,"false"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1566 00","Aufzuteilende Vorsteuer %","Distributed input tax%",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1567 00","Aufzuteilende Vorsteuer nach §§ 13a und 13b UStG","Distributed input tax in accordance with Sections 13a and 13b UStG",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities","R","1568 00","Aufzuteilende Vorsteuer nach §§ 13a und 13b UStG","Distributed input tax in accordance with Sections 13a and 13b UStG",1,"Finanz- und Privatkonten","Financial and private accounts",,"true","1568 00",,"false"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1569 00","Aufzuteilende Vorsteuer nach §§ 13a und 13b UStG %","Distributed input tax in accordance with Sections 13a and 13b UStG%",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1570 00","Abziehbare Vorsteuer","Deductible input tax",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
"Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten","Other assets or other liabilities",,"1571 00","Abziehbare Vorsteuer %","Deductible input tax%",1,"Finanz- und Privatkonten","Financial and private accounts",,"false",,,"true"
